Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
parse/1,2.6265758546482513e-4,2.624115033786174e-4,2.629803771747865e-4,8.943409143360528e-7,6.84618730703166e-7,1.091527553277392e-6
parse/2,2.720917185044502e-3,2.71810169954228e-3,2.7238823627652293e-3,9.744885229419007e-6,8.128169504325251e-6,1.2656629105136756e-5
parse/3,2.217153711283271e-2,2.2132838982005288e-2,2.2212098175543378e-2,8.810652810692729e-5,6.860658923527056e-5,1.1795962261201979e-4
eval/1,1.1150552542209064e-5,1.1142501174743713e-5,1.1168135896971938e-5,3.965489720687388e-8,1.674376808678815e-8,6.373177542259924e-8
eval/2,1.7506264355651914e-4,1.747287983881889e-4,1.7549784883058106e-4,1.3028749556084046e-6,9.471416941463353e-7,1.5810870369415188e-6
eval/3,6.000010776499001e-3,5.986778493597724e-3,6.016753038168655e-3,4.411466987793587e-5,3.2099414999990534e-5,5.869150316995763e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
parse/1,1.0856812806439799e-4,1.085029396140076e-4,1.0867263402351294e-4,2.644663738748957e-7,1.8508732580258003e-7,3.6407728366405425e-7
parse/2,1.4515510352412148e-3,1.4502398185381505e-3,1.4536142556306401e-3,5.744159678793344e-6,4.007096033813326e-6,8.749855353583297e-6
parse/3,1.6120726898991255e-2,1.6065255582032024e-2,1.6156990594743504e-2,1.1284594394442674e-4,7.355182961313596e-5,1.7070360244986514e-4
eval/1,8.971531122130725e-6,8.959368209943723e-6,8.99191869377742e-6,5.061392679484048e-8,3.172225704473707e-8,7.203175541396937e-8
eval/2,1.2334894689992792e-4,1.232237126067011e-4,1.2358599521877033e-4,5.687391407310579e-7,3.515824054699311e-7,8.072550867786438e-7
eval/3,5.156976806453833e-3,5.150601389029765e-3,5.168242669474186e-3,2.5424378109857202e-5,1.4948788405850506e-5,4.58996168039403e-5
